library,scheme,N,category,grid_depth,effective_depth,trial,step_index,step_name,noise_budget_bits,status
SEAL,BFV,8192,3,1,2,0,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,0,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,0,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,0,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,0,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,0,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,1,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,1,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,1,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,1,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,1,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,1,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,2,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,2,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,2,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,2,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,2,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,2,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,3,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,3,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,3,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,3,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,3,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,3,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,4,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,4,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,4,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,4,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,4,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,4,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,5,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,5,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,5,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,5,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,5,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,5,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,6,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,6,1,after_add,73,measured
SEAL,BFV,8192,3,1,2,6,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,6,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,6,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,6,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,7,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,7,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,7,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,7,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,7,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,7,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,8,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,8,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,8,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,8,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,8,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,8,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,9,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,9,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,9,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,9,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,9,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,9,5,after_relinearize_2,10,measured
