library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,status
SEAL,CKKS,8192,3,1,0,0,fresh,8.02785e-09,8.60768e-10,measured
SEAL,CKKS,8192,3,1,0,1,after_add,1.18927e-08,1.21774e-09,measured
SEAL,CKKS,8192,3,1,0,2,after_multiply_1,1.00658e-08,9.38954e-10,measured
SEAL,CKKS,8192,3,1,0,3,after_relinearize_1,1.00658e-08,9.38954e-10,measured
SEAL,CKKS,8192,3,1,0,4,after_rescale_1,3.04643e-05,3.53229e-06,measured
SEAL,CKKS,8192,3,1,1,0,fresh,8.98616e-09,8.71483e-10,measured
SEAL,CKKS,8192,3,1,1,1,after_add,9.82687e-09,1.21143e-09,measured
SEAL,CKKS,8192,3,1,1,2,after_multiply_1,8.52484e-09,8.9052e-10,measured
SEAL,CKKS,8192,3,1,1,3,after_relinearize_1,8.52484e-09,8.9052e-10,measured
SEAL,CKKS,8192,3,1,1,4,after_rescale_1,2.60393e-05,3.51361e-06,measured
SEAL,CKKS,8192,3,1,2,0,fresh,7.82357e-09,8.8558e-10,measured
SEAL,CKKS,8192,3,1,2,1,after_add,8.99166e-09,1.2295e-09,measured
SEAL,CKKS,8192,3,1,2,2,after_multiply_1,1.01549e-08,8.95756e-10,measured
SEAL,CKKS,8192,3,1,2,3,after_relinearize_1,1.01549e-08,8.95756e-10,measured
SEAL,CKKS,8192,3,1,2,4,after_rescale_1,3.5501e-05,3.53995e-06,measured
SEAL,CKKS,8192,3,1,3,0,fresh,1.03245e-08,8.81112e-10,measured
SEAL,CKKS,8192,3,1,3,1,after_add,1.21159e-08,1.24855e-09,measured
SEAL,CKKS,8192,3,1,3,2,after_multiply_1,1.20714e-08,9.48086e-10,measured
SEAL,CKKS,8192,3,1,3,3,after_relinearize_1,1.20714e-08,9.48086e-10,measured
SEAL,CKKS,8192,3,1,3,4,after_rescale_1,2.75896e-05,3.60542e-06,measured
SEAL,CKKS,8192,3,1,4,0,fresh,8.38049e-09,8.85704e-10,measured
SEAL,CKKS,8192,3,1,4,1,after_add,1.25937e-08,1.24057e-09,measured
SEAL,CKKS,8192,3,1,4,2,after_multiply_1,1.33627e-08,9.5836e-10,measured
SEAL,CKKS,8192,3,1,4,3,after_relinearize_1,1.33627e-08,9.5836e-10,measured
SEAL,CKKS,8192,3,1,4,4,after_rescale_1,2.57201e-05,3.5078e-06,measured
SEAL,CKKS,8192,3,1,5,0,fresh,7.16259e-09,8.69108e-10,measured
SEAL,CKKS,8192,3,1,5,1,after_add,1.1433e-08,1.23758e-09,measured
SEAL,CKKS,8192,3,1,5,2,after_multiply_1,1.08451e-08,9.35464e-10,measured
SEAL,CKKS,8192,3,1,5,3,after_relinearize_1,1.08451e-08,9.35464e-10,measured
SEAL,CKKS,8192,3,1,5,4,after_rescale_1,3.10809e-05,3.56784e-06,measured
SEAL,CKKS,8192,3,1,6,0,fresh,6.64041e-09,8.74383e-10,measured
SEAL,CKKS,8192,3,1,6,1,after_add,1.20333e-08,1.24272e-09,measured
SEAL,CKKS,8192,3,1,6,2,after_multiply_1,1.03555e-08,9.43915e-10,measured
SEAL,CKKS,8192,3,1,6,3,after_relinearize_1,1.03555e-08,9.43915e-10,measured
SEAL,CKKS,8192,3,1,6,4,after_rescale_1,2.60961e-05,3.59518e-06,measured
SEAL,CKKS,8192,3,1,7,0,fresh,7.67555e-09,8.63025e-10,measured
SEAL,CKKS,8192,3,1,7,1,after_add,1.31517e-08,1.20672e-09,measured
SEAL,CKKS,8192,3,1,7,2,after_multiply_1,9.33009e-09,9.08378e-10,measured
SEAL,CKKS,8192,3,1,7,3,after_relinearize_1,9.33009e-09,9.08378e-10,measured
SEAL,CKKS,8192,3,1,7,4,after_rescale_1,2.99015e-05,3.54566e-06,measured
SEAL,CKKS,8192,3,1,8,0,fresh,9.46705e-09,8.8075e-10,measured
SEAL,CKKS,8192,3,1,8,1,after_add,9.33894e-09,1.22348e-09,measured
SEAL,CKKS,8192,3,1,8,2,after_multiply_1,9.0549e-09,9.28779e-10,measured
SEAL,CKKS,8192,3,1,8,3,after_relinearize_1,9.0549e-09,9.28779e-10,measured
SEAL,CKKS,8192,3,1,8,4,after_rescale_1,3.79899e-05,3.51583e-06,measured
SEAL,CKKS,8192,3,1,9,0,fresh,1.03647e-08,8.61798e-10,measured
SEAL,CKKS,8192,3,1,9,1,after_add,1.11657e-08,1.24081e-09,measured
SEAL,CKKS,8192,3,1,9,2,after_multiply_1,1.05163e-08,9.27833e-10,measured
SEAL,CKKS,8192,3,1,9,3,after_relinearize_1,1.05163e-08,9.27833e-10,measured
SEAL,CKKS,8192,3,1,9,4,after_rescale_1,3.61499e-05,3.58153e-06,measured
